FrameNo,head_x,head_y,head_confidence,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_confidence,left_hand_x,left_hand_y,left_hand_confidence,right_hand_x,right_hand_y,right_hand_confidence,left_hip_x,left_hip_y,left_hip_confidence,right_hip_x,right_hip_y,right_hip_confidence,left_knee_x,left_knee_y,left_knee_confidence,right_knee_x,right_knee_y,right_knee_confidence,left_foot_x,left_foot_y,left_foot_confidence,right_foot_x,right_foot_y,right_foot_confidence
0,956,347,0.6701925992965698,1014,389,0.5622121691703796,883,399,0.5290480852127075,1115,366,0.5823984146118164,783,367,0.41087764501571655,1173,312,0.5520474910736084,727,313,0.6442808508872986,994,526,0.5412440299987793,915,530,0.5392261147499084,998,619,0.43695512413978577,903,623,0.3777264356613159,1015,708,0.47564297914505005,916,707,0.35476839542388916
1,953,349,0.6742083430290222,1012,384,0.6153347492218018,893,391,0.6413175463676453,1100,360,0.5050255656242371,814,358,0.4213182330131531,1159,294,0.6603251099586487,767,303,0.5751441121101379,993,524,0.5707438588142395,920,526,0.5904000401496887,999,619,0.447028249502182,907,619,0.4286630153656006,1015,705,0.4646778702735901,909,701,0.4261381924152374
2,955,349,0.6775319576263428,1014,386,0.6242661476135254,895,392,0.6432249546051025,1091,357,0.5050123333930969,823,356,0.4183238744735718,1148,281,0.5817839503288269,764,287,0.6596037149429321,996,523,0.5631544589996338,921,526,0.5745514035224915,998,618,0.42238935828208923,905,616,0.3868406414985657,1011,705,0.44541028141975403,910,703,0.49371886253356934
3,960,347,0.6280027031898499,1018,388,0.6296299695968628,898,392,0.6328616142272949,1090,349,0.48046988248825073,833,350,0.403743714094162,1131,274,0.6552088260650635,781,276,0.6380741000175476,996,523,0.5619515180587769,922,525,0.5741266012191772,997,621,0.42832520604133606,908,620,0.39039096236228943,1010,706,0.4415496587753296,912,702,0.46034207940101624
4,962,346,0.60056471824646,1013,380,0.6672881841659546,892,383,0.6295207142829895,1087,327,0.38318854570388794,834,324,0.4014896750450134,1122,261,0.6957775950431824,792,265,0.7503469586372375,998,526,0.7024511098861694,917,529,0.691021203994751,994,629,0.4265998899936676,913,627,0.4344760477542877,1006,707,0.502392053604126,921,703,0.5986117124557495
5,965,346,0.5773523449897766,1006,375,0.5898579955101013,894,381,0.5646377205848694,1091,305,0.4519266188144684,828,319,0.4694811701774597,1105,245,0.5392735600471497,794,264,0.7165834903717041,992,525,0.6606154441833496,914,528,0.6640374064445496,993,628,0.44725045561790466,914,626,0.4598172605037689,1005,709,0.5022469758987427,921,705,0.5945541858673096
6,958,352,0.5352898836135864,1019,381,0.6187350153923035,907,387,0.6613147258758545,1086,322,0.47445687651634216,836,316,0.3327186405658722,1107,253,0.6925421953201294,795,260,0.5489482283592224,997,524,0.675226092338562,923,528,0.7180407643318176,1001,623,0.5018190145492554,915,621,0.484552264213562,1010,707,0.5160589218139648,920,703,0.6142241358757019
7,955,350,0.4814980626106262,1014,377,0.5749150514602661,897,385,0.6248117089271545,1075,311,0.48158952593803406,877,342,0.2900199294090271,1098,237,0.7301484942436218,820,250,0.6110931634902954,1003,527,0.7214604020118713,923,530,0.7377326488494873,1000,626,0.4832146465778351,917,625,0.4931774437427521,1009,708,0.5034794807434082,922,703,0.5789061784744263
8,957,351,0.498855322599411,1012,378,0.576439619064331,897,385,0.6089955568313599,1077,302,0.47885429859161377,842,294,0.37074124813079834,1093,237,0.6346623301506042,832,249,0.6030569672584534,999,528,0.7030558586120605,920,531,0.719666063785553,1000,629,0.47706347703933716,908,623,0.4544442892074585,1006,708,0.4949638247489929,925,702,0.5840631127357483
9,958,347,0.5028710961341858,1016,376,0.550960123538971,897,384,0.6129883527755737,1074,305,0.49093541502952576,847,295,0.33387020230293274,1094,237,0.717101514339447,838,249,0.5794814825057983,1002,527,0.722154974937439,921,529,0.72279292345047,1002,628,0.5219959616661072,908,623,0.4512312412261963,1008,707,0.49973392486572266,923,703,0.5869097709655762
10,959,346,0.5127975344657898,1019,379,0.5845251083374023,900,385,0.6250764727592468,1075,305,0.4914872944355011,849,294,0.39366164803504944,1094,236,0.7145138382911682,843,245,0.5289716720581055,1004,526,0.7346088290214539,921,528,0.7158288359642029,1004,628,0.5260047912597656,919,627,0.4985200762748718,1007,708,0.4933145344257355,921,704,0.5903365015983582
11,961,349,0.4928017556667328,1028,378,0.6337796449661255,901,381,0.5487690567970276,1069,301,0.4597906172275543,856,287,0.26090943813323975,1090,232,0.5752318501472473,845,247,0.51076340675354,1006,524,0.7338916659355164,922,526,0.6933994889259338,999,627,0.5170418620109558,918,625,0.4978890120983124,1005,707,0.4811328649520874,921,704,0.6048725247383118
12,967,348,0.5026071071624756,1024,377,0.5229386687278748,917,387,0.5673861503601074,1069,310,0.5266978144645691,868,295,0.30910366773605347,1084,237,0.6718606948852539,855,248,0.48591145873069763,1008,521,0.7071774005889893,930,522,0.7115939855575562,1009,623,0.5663836002349854,921,622,0.571182906627655,1006,710,0.49179404973983765,919,710,0.6035020351409912
13,965,347,0.4647790789604187,1030,381,0.6279540657997131,913,383,0.5291019678115845,1072,305,0.4849795401096344,869,305,0.22969192266464233,1081,234,0.5575444102287292,850,244,0.45993518829345703,1008,523,0.7273930907249451,926,523,0.7062231302261353,1007,624,0.45441755652427673,916,622,0.4774478077888489,1005,711,0.47527486085891724,919,710,0.6182655692100525
14,967,349,0.4697522819042206,1027,375,0.5232982635498047,914,384,0.5577719211578369,1067,311,0.4816727340221405,871,308,0.2193361073732376,1080,240,0.6102215051651001,847,243,0.4687708616256714,1005,524,0.7194429039955139,924,524,0.690995991230011,997,633,0.45620980858802795,913,627,0.5153462290763855,1004,709,0.4623394012451172,921,707,0.6002180576324463
